epoch,train_loss,valid_loss,accuracy,time,model_name,transform_name,learning_rate,saved_at
0,1.2349482774734497,1.2018245458602903,0.4993489682674408,02:30,vit_base_patch16_224,rr_crop_flip_zoom,0.001,2024-10-14 23:09:11
1,1.206063151359558,1.1797189712524414,0.51953125,02:15,vit_base_patch16_224,rr_crop_flip_zoom,0.001,2024-10-14 23:09:11
2,1.2949621677398682,1.2039679288864136,0.484375,02:14,vit_base_patch16_224,rr_crop_flip_zoom,0.001,2024-10-14 23:09:11
3,1.184404730796814,1.1109660863876345,0.5436198115348816,02:17,vit_base_patch16_224,rr_crop_flip_zoom,0.001,2024-10-14 23:09:11
4,1.1259093284606934,1.085663676261902,0.5709635615348816,02:18,vit_base_patch16_224,rr_crop_flip_zoom,0.001,2024-10-14 23:09:11
5,1.0331802368164062,1.099558711051941,0.564453125,02:14,vit_base_patch16_224,rr_crop_flip_zoom,0.001,2024-10-14 23:09:11
6,1.0580092668533323,0.9978065490722656,0.6061198115348816,02:16,vit_base_patch16_224,rr_crop_flip_zoom,0.001,2024-10-14 23:09:11
7,0.8884650468826294,1.0061899423599243,0.6028645634651184,02:15,vit_base_patch16_224,rr_crop_flip_zoom,0.001,2024-10-14 23:09:11
8,0.8972196578979492,1.032216191291809,0.609375,02:14,vit_base_patch16_224,rr_crop_flip_zoom,0.001,2024-10-14 23:09:11
9,0.7355805039405823,1.0220402479171753,0.6126301884651184,02:38,vit_base_patch16_224,rr_crop_flip_zoom,0.001,2024-10-14 23:09:11
10,0.6499389410018921,1.0619925260543823,0.6197916865348816,02:16,vit_base_patch16_224,rr_crop_flip_zoom,0.001,2024-10-14 23:09:11
11,0.6159146428108215,1.0981415510177612,0.630859375,02:15,vit_base_patch16_224,rr_crop_flip_zoom,0.001,2024-10-14 23:09:11
12,0.5016136765480042,1.1365619897842407,0.6223958134651184,02:15,vit_base_patch16_224,rr_crop_flip_zoom,0.001,2024-10-14 23:09:11
13,0.4402811825275421,1.1534804105758667,0.6295573115348816,02:13,vit_base_patch16_224,rr_crop_flip_zoom,0.001,2024-10-14 23:09:11
14,0.3923143446445465,1.1367563009262085,0.6282551884651184,02:14,vit_base_patch16_224,rr_crop_flip_zoom,0.001,2024-10-14 23:09:11
