epoch,train_loss,valid_loss,accuracy,time,model_name,transform_name,learning_rate,saved_at
0,1.9312591552734373,1.6357282400131226,0.2819010317325592,02:06,vit_base_patch16_224,none_saturation,0.001,2024-10-15 10:33:17
1,1.761393427848816,1.5642224550247192,0.3359375,02:13,vit_base_patch16_224,none_saturation,0.001,2024-10-15 10:33:17
2,1.5404905080795288,1.445579171180725,0.3932291567325592,02:08,vit_base_patch16_224,none_saturation,0.001,2024-10-15 10:33:17
3,1.443429946899414,1.3272641897201538,0.4518229067325592,02:08,vit_base_patch16_224,none_saturation,0.001,2024-10-15 10:33:17
4,1.2858257293701172,1.290563702583313,0.4720052182674408,03:00,vit_base_patch16_224,none_saturation,0.001,2024-10-15 10:33:17
5,1.099021077156067,1.301560401916504,0.4889322817325592,02:11,vit_base_patch16_224,none_saturation,0.001,2024-10-15 10:33:17
6,0.9053055047988892,1.3571361303329468,0.474609375,02:12,vit_base_patch16_224,none_saturation,0.001,2024-10-15 10:33:17
7,0.7257383465766907,1.4337679147720337,0.5013020634651184,02:12,vit_base_patch16_224,none_saturation,0.001,2024-10-15 10:33:17
8,0.6337665915489197,1.4812045097351074,0.50390625,02:29,vit_base_patch16_224,none_saturation,0.001,2024-10-15 10:33:17
9,0.5560274720191956,1.4648895263671875,0.5013020634651184,02:14,vit_base_patch16_224,none_saturation,0.001,2024-10-15 10:33:17
