epoch,train_loss,valid_loss,accuracy,time,model_name,transform_name,learning_rate,saved_at
0,1.918340802192688,1.7427269220352173,0.2747395932674408,01:45,mobilenetv4_hybrid_medium,none_basic,0.001,2024-10-15 19:10:15
1,1.7451765537261963,1.6448990106582642,0.26171875,01:43,mobilenetv4_hybrid_medium,none_basic,0.001,2024-10-15 19:10:15
2,1.6831225156784058,1.5386171340942385,0.3307291567325592,01:42,mobilenetv4_hybrid_medium,none_basic,0.001,2024-10-15 19:10:15
3,1.612152338027954,1.4903006553649902,0.353515625,01:42,mobilenetv4_hybrid_medium,none_basic,0.001,2024-10-15 19:10:15
4,1.583580732345581,1.4655189514160156,0.3645833432674408,01:42,mobilenetv4_hybrid_medium,none_basic,0.001,2024-10-15 19:10:15
