epoch,train_loss,valid_loss,accuracy,time,model_name,transform_name,learning_rate,saved_at
0,1.9713293313980105,1.8474087715148928,0.244140625,01:46,mobilenetv4_hybrid_medium,rr_crop_flip_basic,0.001,2024-10-15 20:03:05
1,1.789658546447754,240.952392578125,0.2819010317325592,01:50,mobilenetv4_hybrid_medium,rr_crop_flip_basic,0.001,2024-10-15 20:03:05
2,1.606532096862793,1.576619029045105,0.3046875,01:47,mobilenetv4_hybrid_medium,rr_crop_flip_basic,0.001,2024-10-15 20:03:05
3,1.6209592819213867,24.188905715942383,0.30078125,01:49,mobilenetv4_hybrid_medium,rr_crop_flip_basic,0.001,2024-10-15 20:03:05
4,1.6431158781051636,140.2174835205078,0.3157552182674408,01:49,mobilenetv4_hybrid_medium,rr_crop_flip_basic,0.001,2024-10-15 20:03:05
