epoch,train_loss,valid_loss,accuracy,time,model_name,transform_name,learning_rate,saved_at
0,1.9250621795654297,1.7135275602340698,0.2552083432674408,01:36,mobilenetv4_hybrid_medium,none_contrast,0.001,2024-10-15 20:31:46
1,1.7899688482284546,1.6274824142456057,0.2942708432674408,01:37,mobilenetv4_hybrid_medium,none_contrast,0.001,2024-10-15 20:31:46
2,1.620534896850586,1.5745595693588257,0.2962239682674408,01:35,mobilenetv4_hybrid_medium,none_contrast,0.001,2024-10-15 20:31:46
3,1.5109726190567017,1.5163191556930542,0.326171875,01:37,mobilenetv4_hybrid_medium,none_contrast,0.001,2024-10-15 20:31:46
4,1.5007150173187256,6.112729549407959,0.3307291567325592,01:35,mobilenetv4_hybrid_medium,none_contrast,0.001,2024-10-15 20:31:46
