epoch,train_loss,valid_loss,accuracy,time,model_name,transform_name,learning_rate,saved_at
0,2.0083565711975098,495.1485290527344,0.2708333432674408,01:34,mobilenetv4_hybrid_medium,none_saturation,0.001,2024-10-15 20:41:04
1,1.8278441429138184,1136.1475830078125,0.2727864682674408,01:37,mobilenetv4_hybrid_medium,none_saturation,0.001,2024-10-15 20:41:04
2,1.631181001663208,120.94512176513672,0.3053385317325592,01:36,mobilenetv4_hybrid_medium,none_saturation,0.001,2024-10-15 20:41:04
3,1.6161432266235352,1080.35498046875,0.3287760317325592,01:37,mobilenetv4_hybrid_medium,none_saturation,0.001,2024-10-15 20:41:04
4,1.4921467304229736,30.64857292175293,0.3450520932674408,01:35,mobilenetv4_hybrid_medium,none_saturation,0.001,2024-10-15 20:41:04
