epoch,train_loss,valid_loss,accuracy,time,model_name,transform_name,learning_rate,saved_at
0,1.961832046508789,1095.2872314453125,0.279296875,01:35,mobilenetv4_hybrid_medium,none_rotate,0.001,2024-10-15 20:50:24
1,1.8103729486465452,40.6086540222168,0.2584635317325592,01:39,mobilenetv4_hybrid_medium,none_rotate,0.001,2024-10-15 20:50:24
2,1.6598262786865234,1.5781522989273071,0.3190104067325592,01:35,mobilenetv4_hybrid_medium,none_rotate,0.001,2024-10-15 20:50:24
3,1.6462169885635376,1.5327333211898804,0.30078125,01:37,mobilenetv4_hybrid_medium,none_rotate,0.001,2024-10-15 20:50:24
4,1.5924794673919678,1.5294493436813354,0.322265625,01:36,mobilenetv4_hybrid_medium,none_rotate,0.001,2024-10-15 20:50:24
